Name,Ratings,Description,Highly Rated for,Critical Rated for,Reviews,Salaries,Interviews,Jobs,Benefits
Havells,3.9,Electrical Equipment | Noida +270 other locations,"Work Life Balance, Salary",Promotions,4.8k,15.9k,316,29,331
Aditya Birla Fashion and Retail,4.1,Fashion & Textile | Bengaluru +299 other locations,"Job Security, Skill Development, Company Culture",Promotions,4.8k,13.5k,286,55,411
Eviden,3.6,IT Services & Consulting | Pune +41 other locations,Work Life Balance,"Promotions, Salary, Job Security",4.8k,25.8k,317,--,3
R1 RCM,3.8,BPO | New Delhi +51 other locations,Job Security,Promotions,4.8k,22.7k,377,208,362
L&T Finance,3.9,NBFC | Mumbai +675 other locations,Salary,Promotions,4.8k,12k,241,--,253
Tata AIA Life Insurance,3.8,Insurance | Mumbai +475 other locations,"Job Security, Skill Development",Promotions,4.8k,15.3k,271,879,320
Hewlett Packard Enterprise,4.0,IT Services & Consulting | Bengaluru +105 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.8k,27.9k,274,198,552
Cars24,3.5,Internet | Gurugram +172 other locations,"Job Security, Promotions, Company Culture",,4.7k,16.1k,421,79,402
Mahindra Logistics,3.7,Logistics | Mumbai +239 other locations,"Promotions, Salary",,4.7k,13k,258,254,452
Berger Paints,3.7,Chemicals | Kolkata +384 other locations,"Promotions, Company Culture, Work Life Balance",,4.7k,11k,466,335,285
Deutsche Bank,3.8,Banking | Pune +43 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Skill Development",4.7k,39.3k,444,290,431
Dell,3.8,Consumer Electronics & Appliances | Bengaluru +123 other locations,"Work Life Balance, Company Culture","Promotions, Job Security",4.6k,29.6k,446,16,554
Home Credit Finance,4.0,NBFC | Gurugram +142 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.6k,9.1k,155,117,601
Motilal Oswal Financial Services,3.6,Financial Services | Mumbai +171 other locations,"Promotions, Work Life Balance, Work Satisfaction",,4.6k,13.8k,563,66,182
TeamLease Services,3.9,Recruitment | Bengaluru +415 other locations,Work Life Balance,Promotions,4.6k,16.9k,267,--,225
VE Commercial Vehicles,3.9,Automobile | Indore +186 other locations,"Job Security, Skill Development","Promotions, Salary",4.6k,14.8k,308,20,373
Hyundai Motor India Limited,4.1,Automobile | Chennai +297 other locations,"Job Security, Salary, Company Culture",Promotions,4.5k,14.7k,339,2,534
OPPO,3.9,Consumer Electronics & Appliances | Greater Noida +417 other locations,"Promotions, Job Security",,4.5k,11.6k,267,14,590
Thermax Limited,4.2,Industrial Machinery | Pune +266 other locations,"Job Security, Company Culture, Skill Development",Promotions,4.5k,13.8k,366,59,399
Jubilant Foods Works,3.7,Hospitality | Noida +276 other locations,"Promotions, Work Satisfaction",,4.5k,10k,272,311,214
Carelon Global Solutions,3.9,IT Services & Consulting | Bengaluru +22 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,4.4k,29.5k,438,152,36
Macleods Pharmaceuticals,3.7,Pharma | Mumbai +142 other locations,Job Security,"Promotions, Company Culture",4.4k,16.1k,282,22,352
Jindal Steel Limited,3.9,Iron & Steel | Angul +177 other locations,"Skill Development, Job Security",Promotions,4.4k,16.7k,457,45,362
Hindalco Industries,4.2,Metals & Mining | Sambalpur +135 other locations,"Job Security, Work Life Balance, Skill Development",,4.4k,13.4k,333,12,371
Aakash Educational Services,3.2,Education & Training | New Delhi +254 other locations,"Promotions, Work Life Balance, Job Security",,4.4k,14.1k,388,122,220
State Street Corporation,3.5,Financial Services | Bengaluru +38 other locations,"Promotions, Work Satisfaction, Job Security",,4.4k,35.2k,308,12,279
Bajaj Auto,3.8,Automobile | Pune +334 other locations,Promotions,,4.3k,15.1k,340,40,489
LG Electronics,3.8,Consumer Electronics & Appliances | Pune +310 other locations,Job Security,Promotions,4.3k,11.4k,278,13,408
DCB Bank,3.8,Banking | Mumbai +355 other locations,Work Life Balance,Promotions,4.2k,9.9k,239,24,260
HDFC ERGO General Insurance,3.9,Insurance | Mumbai +333 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,4.2k,12.4k,217,18,282
RBL Bank,3.5,Banking | Mumbai +302 other locations,"Promotions, Company Culture, Work Satisfaction",,4.2k,18.9k,255,33,224
Royal Enfield,4.2,Automobile | Chennai +384 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions,4.2k,15.4k,214,3,401
Cloudnine Hospital,4.5,Healthcare | Bengaluru +48 other locations,"Company Culture, Job Security, Skill Development",,4.2k,3.3k,1.7k,20,230
Kogta Financial India Limited,4.6,NBFC | Jaipur +260 other locations,"Company Culture, Work Life Balance, Work Satisfaction",,4.2k,2.1k,252,99,40
John Deere,4.0,Industrial Machinery | Pune +160 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions,4.2k,16.1k,279,4,443
Cummins,4.3,Industrial Machinery | Pune +122 other locations,"Company Culture, Work Life Balance, Work Satisfaction",,4.2k,15.8k,301,211,471
Publicis Sapient,3.2,IT Services & Consulting | Bengaluru +47 other locations,"Promotions, Job Security, Work Satisfaction",,4.2k,33.7k,721,105,413
Tata Communications,3.8,Telecom | Pune +103 other locations,Work Life Balance,"Promotions, Salary",4.1k,23.9k,313,286,431
Grasim Industries,4.0,Building Material | Bharuch +271 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,4.1k,13.8k,304,8,307
Aditya Birla Sun Life Insurance,4.0,Insurance | Mumbai +525 other locations,"Work Life Balance, Company Culture, Skill Development",,4.1k,10.8k,196,1,221
